id,email,created_at,is_valid,campaign_name
,elizabethyoung@williams.com,,1,1
,georgewayne@gmail.com,,1,1
,wjones@rojas-hahn.com,,1,1
,scotttorres@lee.org,,1,1
,phillipwong@galvan.biz,,1,1
,sarah21@hotmail.com,,1,1
,murrayalex@yahoo.com,,1,1
,madisondixon@hotmail.com,,1,1
,philip25@hotmail.com,,1,1
,andersonjoseph@yahoo.com,,1,1
,craig61@wilson-hughes.info,,1,1
,tsmith@yahoo.com,,1,1
,katrina48@gmail.com,,1,1
,hinestimothy@gmail.com,,1,1
,bkerr@yahoo.com,,1,1
,amandafrancis@collins.com,,1,1
,mrivera@gmail.com,,1,1
,tgonzales@yang-cobb.com,,1,1
,charlesolsen@vargas.com,,1,1
,randallwilliam@yahoo.com,,1,1
,alejandro58@townsend.com,,1,1
,ocrawford@hotmail.com,,1,1
,craighaley@fox.com,,1,1
,ybird@yahoo.com,,1,1
,nperez@richardson.com,,1,1
,ryan93@harper.com,,1,1
,josephvega@gmail.com,,1,1
,espinozabrooke@williams.com,,1,1
,carolyoung@yahoo.com,,1,1
,gmorrison@hotmail.com,,1,1
,wjacobs@hotmail.com,,1,1
,joel58@ball.org,,1,1
,rherrera@yahoo.com,,1,1
,kleingail@hotmail.com,,1,1
,christopher75@gmail.com,,1,1
,rodriguezdebra@french-howell.com,,1,1
,alberthiggins@yahoo.com,,1,1
,josephhogan@yahoo.com,,1,1
,trevor73@hotmail.com,,1,1
,benjaminnelson@hotmail.com,,1,1
,oduncan@hotmail.com,,1,1
,wyattmindy@hotmail.com,,1,1
,judy88@mercado-davis.info,,1,1
,greermark@harrell-martinez.com,,1,1
,littlemartha@gmail.com,,1,1
,jenniferwilliams@gmail.com,,1,1
,lee14@brown-lee.com,,1,1
,jstewart@gmail.com,,1,1
,kimberly96@yahoo.com,,1,1
,johnduarte@gmail.com,,1,1
,robertsonjames@gmail.com,,1,1
,pmoore@simmons-summers.com,,1,1
,larry53@yahoo.com,,1,1
,samantha97@hotmail.com,,1,1
,madams@yahoo.com,,1,1
,qjones@pacheco-acevedo.com,,1,1
,hhughes@carey.info,,1,1
,floresjenna@lawson.com,,1,1
,jasonaguirre@yahoo.com,,1,1
,lauren61@mcclain.com,,1,1
,piercedale@cox-ingram.info,,1,1
,xthomas@gonzalez.com,,1,1
,owilson@hotmail.com,,1,1
,smendez@griffin.com,,1,1
,joellevy@kim.com,,1,1
,agrant@yahoo.com,,1,1
,amandaduarte@hotmail.com,,1,1
,buckleyjessica@price.net,,1,1
,ogill@hotmail.com,,1,1
,johnsonalyssa@hotmail.com,,1,1
,michelle04@yahoo.com,,1,1
,kristinabryan@mayo-ibarra.com,,1,1
,zimmermanrebecca@gmail.com,,1,1
,michaelgonzalez@robinson-acosta.com,,1,1
,amy04@hotmail.com,,1,1
,zachary37@douglas.com,,1,1
,dawn56@snow.com,,1,1
,pberry@gmail.com,,1,1
,vlowery@yahoo.com,,1,1
,sarayoung@austin-williams.com,,1,1
,baldwinshannon@davis-hall.com,,1,1
,samantha39@yahoo.com,,1,1
,jessicajackson@gmail.com,,1,1
,georgebright@hotmail.com,,1,1
,grahamchad@melton.biz,,1,1
,nataliegilbert@hotmail.com,,1,1
,turneramy@dunn.org,,1,1
,cowannicholas@gmail.com,,1,1
,khanaaron@gregory-garrison.com,,1,1
,seancrawford@hotmail.com,,1,1
,calvin26@rodriguez-chandler.com,,1,1
,benjaminrivera@rivera.org,,1,1
